Fixture,Score
Qatar vs Ecuador,0-2
England vs Iran,6-2
Senegal vs Netherlands,0-2
United States vs Wales,1-1
Argentina vs Saudi Arabia,1-2
Denmark vs Tunisia,0-0
Mexico vs Poland,0-0
France vs Australia,4-1
Morocco vs Croatia,0-0
Germany vs Japan,1-2
Spain vs Costa Rica,7-0
Belgium vs Canada,1-0
Switzerland vs Cameroon,1-0
Uruguay vs South Korea,0-0
Portugal vs Ghana,3-2
Brazil vs Serbia,2-0
Wales vs Iran,0-2
Qatar vs Senegal,1-3
Netherlands vs Ecuador,1-1
England vs United States,0-0
Tunisia vs Australia,0-1
Poland vs Saudi Arabia,2-0
France vs Denmark,2-1
Argentina vs Mexico,2-0
Japan vs Costa Rica,0-1
Belgium vs Morocco,0-2
Croatia vs Canada,4-1
Spain vs Germany,1-1
Cameroon vs Serbia,3-3
South Korea vs Ghana,2-3
Brazil vs Switzerland,1-0
Portugal vs Uruguay,2-0
Ecuador vs Senegal,1-2
Netherlands vs Qatar,2-0
Iran vs United States,0-1
Wales vs England,0-3
Australia vs Denmark,1-0
Tunisia vs France,1-0
Poland vs Argentina,0-2
Saudi Arabia vs Mexico,1-2
Canada vs Morocco,1-2
Croatia vs Belgium,0-0
Costa Rica vs Germany,2-4
Japan vs Spain,2-1
Ghana vs Uruguay,0-2
South Korea vs Portugal,2-1
Cameroon vs Brazil,1-0
Serbia vs Switzerland,2-3
Netherlands vs United States,3-1
Argentina vs Australia,2-1
France vs Poland,3-1
England vs Senegal,3-0
Japan vs Croatia,1-1
Brazil vs South Korea,4-1
Morocco vs Spain,0-0
Portugal vs Switzerland,6-1
Croatia vs Brazil,1-1
Netherlands vs Argentina,2-2
Morocco vs Portugal,1-0
England vs France,1-2
Argentina vs Croatia,3-0
France vs Morocco,2-0
Croatia vs Morocco,2-1
Argentina vs France,3-3
