Uruguay vs Cape Verde,
Spain vs Saudi Arabia,
Belgium vs Iran,
New Zealand vs Egypt,
Norway vs Senegal,
France vs Iraq,
Argentina vs Austria,
Jordan vs Algeria,
England vs Ghana,
Panama vs Croatia,
Portugal vs Uzbekistan,
Colombia vs Congo DR,
England vs Ghana,
Croatia vs Panama,
Mexico vs Czechia,
South Africa vs Korea Republic,
Canada vs Switzerland,
Bosnia and Herzegovina vs Qatar,
Brazil vs Scotland,
Morocco vs Haiti,
USA vs Türkiye,
Australia vs Paraguay,
Germany vs Ecuador,
Côte d'Ivoire vs Curaçao,
Netherlands vs Tunisia,
Japan vs Sweden,
Belgium vs New Zealand,
Egypt vs IR Iran,
Spain vs Uruguay,
Saudi Arabia vs Cabo Verde,
France vs Norway,
Senegal vs Iraq,
Argentina vs Jordan,
Austria vs Algeria,
Portugal vs Colombia,
Uzbekistan vs Congo DR,
England vs Panama,
Croatia vs Ghana,
